quests_title,quests_description,quests_objective
Ajunta’s Ancient Army,"On your way out of the Tomb of Ajunta Pall his ancient droids activated and attacked.
Defeat Ancient Droids in the Tomb of Ajunta Pall",Defeat Ancient Droids
Arm Yourself,"Overseer Tremel has brought you to the Sith Academy on Korriban to begin your trials ahead of schedule.
Your first mission is to acquire a blade more appropriate to your destiny–an ancient Sith warblade from the armory of the tomb of Ajunta Pall.",Explore the Armory
Attack of the Flesh Raiders,"Flesh Raiders have mounted an assault on the Jedi training grounds in the Gnarls. Derrin Weller has asked you to help ward off this threat.
Speak to the speeder droid outside of the Masters’ Retreat to find transportation to the Gnarls.",Speak to Master Satele Shan
Claim Your New Identity,"Your first mission as an Imperial agent brings you to Hutta. Your handler, Keeper, has ordered you to assume a cover identity and convince Nem’ro the Hutt to ally with the Empire.
The first step is to contact Jheeg, an Imperial asset in the town of Jiguuna; he will brief you on your cover. Meet Jheeg at his safe house in Jiguuna.",Speak to Jheeg
Cleanse the Valley,"You have been sent to the tomb of Ajunta Pall as part of your training at the Sith Academy. Before entering the tomb, you should hone your combat skills on the k’lor’slug foragers in the Valley of the Dark Lords.",Kill K’lor’slug Foragers
Clear out Vexx’s Safehouse,"Vexx has quite the posse. If they’re allowed to escape, they’ll warn Vexx that you’re after him. Make sure none of the hired outlaws in Vexx’s safe house survive your visit.",Eliminate the Hired Outlaws
Clear the Path to the Jedi Temple,"The increasing hostility of the Flesh Raiders represents a growing threat to the Jedi Temple.
Now, the path to the Jedi Temple has been beset by Flesh Raider lurkers. Eliminate as many as you can on your way to the Jedi Temple.",Defeat Flesh Raider Lurkers
Clear the Path to the Jedi Temple,"The increasing hostility of the Flesh Raiders represents a growing threat to the Jedi Temple.
Now, the path to the Jedi Temple has been beset by Flesh Raider lurkers. Eliminate as many as you can on your way to the Jedi Temple.",Defeat Flesh Raider Lurkers
Clearing the Air,"Sergeant Blyes needs the separatist jammers taken out so he can transmit intel reports to Fort Garnik.
Find and disable the separatist signal jammers in Drelliad village.",Disable Signal Jammer Alpha
Death Mark: Fa’athra Gang,"A bounty has been put on Fa’athra’s gang members by Nem’ro the Hutt.
Defeat the Fa’athra gangsters in Jiguuna to claim the reward.",Defeat Fa’athra’s Gangsters
Gang Warfare,"An ex-gangster named Lew Brell needs your help preventing his brother Cam from following in his footsteps. Lew has asked you to convince his old friend Rex Geer, the leader of Nem’ro’s street gang, to let Cam leave the gang.
Talk to Rex inside the gang’s hideout in Jiguuna.",Speak to Lew Brell
Gauntlet,"Braden, a famed but now retired bounty hunter, has recruited you for his team for the Great Hunt. You’ll need sponsorship to get in, though. The local crime lord, Nem’ro the Hutt, has yet to offer his sponsorship to anyone, and Braden thinks if you can make a name for yourself, you can win that prize.
Your first task is to hunt down a high-profile target named Vexx. Search Vexx’s safe house for any clues as to where he’s hiding.",Search for Information on Vexx
Halt the Assault,The cave tunnel is swarming with hostile Flesh Raiders. You’ll have to drive off the ones swarming the tunnel before you can seal it.,Defeat Flesh Raiders
Hit the Ground Running,"You’re the newest member of Havoc Squad, the most elite infantry unit in the Republic military. Your first assignment is on Ord Mantell, where a separatist uprising has spiralled into a planet-wide war. An armored personnel walker is carrying you to Fort Garnik, where you’ll receive a full briefing on your mission.
One of the other passengers on the walker is Bex “Gearbox” Kolos, a veteran of Havoc Squad. Speak with Gearbox to learn more about your mission on Ord Mantell.",Speak to Gearbox
K’lor’slug Infestation,"Sergeant Cormun commands an operation to exterminate the k’lor’slugs in the tomb of Ajunta Pall. He planned to detonate explosives in the k’lor’slug egg chambers, but his squad was wiped out after the bombs were set.
Sergeant Cormun needs you to enter the tomb of Ajunta Pall, kill the k’lor’slugs and detonate the charges in the egg chamber.",Kill K’lor’slugs
Landing Party,"After delivering a shipment of blasters to Republic forces, you find yourself trapped on Ord Mantell. Separatists have seized control of the local air defense cannon and are shooting down any starships flying in or out.
Destroy the separatists’ remote control stations around Drelliad as the first step in disabling the air defense cannon.",Destroy the Remote Control Stations
Leave No Witnesses,Thieves have stolen cargo you need to give as tribute to Nem’ro the Hutt. Your contact Jheeg thinks that it’s not enough to recover the cargo. He suggests that it’s best if there are no witnesses left. Defeat Fa’athra’s thieves in and around the gang hideout.,Eliminate Fa’athra’s Thieves
